識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
258,58,厚度,,,,-0.1000,0.1000,4.0000,mm,
259,58,長度,,,,-1.0000,1.0000,615.0000,mm,
260,58,同心度,,,0.3500,,,,mm,
261,59,外徑,,,,-0.1000,0.1000,30.0000,mm,
262,59,厚度,,,,-0.1000,0.1000,1.7000,mm,
263,59,長度,,,,-1.0000,1.0000,445.0000,mm,
264,59,同心度,,,0.2500,,,,mm,
265,60,外徑,,,,-0.1500,0.2000,31.0000,mm,
266,60,厚度,,,,-0.1500,0.1500,2.0000,mm,
267,60,長度,,,,-1.0000,1.0000,310.0000,mm,
268,60,同心度,,,0.2500,,,,mm,
269,61,外徑,,,,-0.1000,0.1000,31.8000,mm,
270,61,厚度,,,,-0.0500,1.0000,2.8000,mm,
271,61,長度,,,,-1.0000,1.0000,746.0000,mm,
272,61,同心度,,,0.3500,,,,mm,
273,62,外徑,,,,-0.1500,0.2000,33.0000,mm,
274,62,厚度,,,,-0.1500,0.1500,1.8000,mm,
275,62,長度,,,,-1.0000,1.0000,370.0000,mm,
276,62,同心度,,,0.2500,,,,mm,
277,63,外徑,,,,-0.1500,0.2000,34.0000,mm,
278,63,厚度,,,,-0.1500,0.1500,1.8000,mm,
279,63,長度,,,,-1.0000,1.0000,280.0000,mm,
280,63,同心度,,,0.2500,,,,mm,
281,64,外徑,,,,-0.1500,0.2000,35.0000,mm,
282,64,厚度,,,,-0.1500,0.1500,2.5000,mm,
283,64,長度,,,,-1.0000,1.0000,290.0000,mm,
284,64,同心度,,,0.2500,,,,mm,
285,65,外徑,,,,-0.1000,0.1000,35.0000,mm,
286,65,厚度,,,,-0.1000,0.1000,2.5000,mm,
287,65,長度,,,,-1.0000,1.0000,410.0000,mm,
288,65,同心度,,,0.2500,,,,mm,
289,66,外徑,,,,-0.1500,0.1500,35.0000,mm,
290,66,厚度,,,,-0.1500,0.2500,2.6000,mm,
291,66,長度,,,,-1.0000,1.0000,395.0000,mm,
292,66,同心度,,,0.3500,,,,mm,
293,67,外徑,,,,-0.1500,0.2000,38.0000,mm,
294,67,厚度,,,,-0.1500,0.1500,2.0000,mm,
295,67,長度,,,,-1.0000,1.0000,420.0000,mm,
296,67,同心度,,,0.2500,,,,mm,
297,68,外徑,,,,-0.1500,0.2000,38.0000,mm,
298,68,厚度,,,,-0.1500,0.1500,2.5000,mm,
299,68,長度,,,,-1.0000,1.0000,380.0000,mm,
300,68,同心度,,,0.2500,,,,mm,
301,69,外徑,,,,-0.1500,0.2000,39.0000,mm,
302,69,厚度,,,,-0.1500,0.1500,2.5000,mm,
303,69,長度,,,,-1.0000,1.0000,310.0000,mm,
304,69,同心度,,,0.2500,,,,mm,
1083,148,外徑,,,,-0.1500,0.2000,40.0000,mm,
1084,148,厚度,,,,-0.1500,0.1500,2.4000,mm,
1085,148,長度,,,,-1.0000,1.0000,300.0000,mm,
1086,148,同心度,,,0.2500,,,,mm,
1087,149,外徑,,,,-0.1500,0.2000,40.0000,mm,
1088,149,厚度,,,,-0.1500,0.2500,2.6000,mm,
1089,149,長度,,,,-1.0000,1.0000,605.0000,mm,
1090,149,同心度,,,0.3500,,,,mm,
1797,168,外徑,,,,-0.1500,0.2500,42.0000,mm,
1798,168,厚度,,,,-0.1500,0.1500,2.0000,mm,
1799,168,長度,,,,-1.0000,1.0000,320.0000,mm,
1800,168,同心度,,,0.2500,,,,mm,
1801,169,外徑,,,,-0.1500,0.2500,42.0000,mm,
1802,169,厚度,,,,-0.1500,0.2500,3.5000,mm,
1803,169,長度,,,,-1.0000,1.0000,565.0000,mm,
1804,169,同心度,,,0.3500,,,,mm,
1805,170,外徑,,,,-0.1500,0.2500,43.0000,mm,
1806,170,厚度,,,,-0.1500,0.1500,2.1000,mm,
1807,170,長度,,,,-1.0000,1.0000,300.0000,mm,
1808,170,同心度,,,0.2500,,,,mm,
1809,171,外徑,,,,-0.1500,0.2500,43.0000,mm,
1810,171,厚度,,,,-0.1500,0.1500,2.5000,mm,
1811,171,長度,,,,-1.0000,1.0000,320.0000,mm,
1812,171,同心度,,,0.2500,,,,mm,
1813,172,外徑,,,,-0.1500,0.2500,44.0000,mm,
1814,172,厚度,,,,-0.1500,0.2500,3.6000,mm,
1815,172,長度,,,,-1.0000,1.0000,260.0000,mm,
1816,172,同心度,,,0.3500,,,,mm,
1817,173,外徑,,,,-0.1500,0.1500,44.0000,mm,
1818,173,厚度,,,,-0.1000,0.1000,4.0000,mm,
1819,173,長度,,,,-1.0000,1.0000,200.0000,mm,
1820,173,同心度,,,0.3500,,,,mm,
1821,174,外徑,,,,-0.1500,0.2500,44.0000,mm,
1822,174,厚度,,,,-0.1500,0.2500,4.0000,mm,
1823,174,長度,,,,-1.0000,1.0000,295.0000,mm,
1824,174,同心度,,,0.3500,,,,mm,
1825,175,外徑,,,,-0.1500,0.2500,44.0000,mm,
1826,175,厚度,,,,-0.1500,0.2500,4.0000,mm,
1827,175,長度,,,,-1.0000,1.0000,310.0000,mm,
1828,175,同心度,,,0.3500,,,,mm,
1829,176,外徑,,,,-0.1500,0.2500,45.0000,mm,
1830,176,厚度,,,,-0.1500,0.1500,2.1000,mm,
1831,176,長度,,,,-1.0000,1.0000,550.0000,mm,
1832,176,同心度,,,0.2500,,,,mm,
1833,177,外徑,,,,-0.1500,0.2500,47.0000,mm,
