識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
2095,242,外徑,,,,-0.0500,0.0500,35.0000,mm,
2096,242,內徑,,,,-0.0500,0.0500,28.9500,mm,
2097,242,長度,,,,0.0000,2.0000,347.0000,mm,
2098,242,同心度,,,0.1000,,,,mm,
2099,242,真圓度,,,0.0500,,,,mm,
2100,242,真直度,,,0.1500,,,,mm,
2101,243,外徑,,,,-0.0500,0.0500,35.0000,mm,
2102,243,內徑,,,,-0.0500,0.0500,29.0400,mm,
2103,243,長度,,,,0.0000,2.0000,347.0000,mm,
2104,243,同心度,,,0.1000,,,,mm,
2105,243,真圓度,,,0.0500,,,,mm,
2106,243,真直度,,,0.1500,,,,mm,
2107,244,外徑,,,,-0.0500,0.0500,33.0000,mm,
2108,244,內徑,,,,-0.0500,0.0500,28.2000,mm,
2109,244,長度,,,,0.0000,2.0000,343.0000,mm,
2110,244,同心度,,,0.1500,,,,mm,
2111,244,真圓度,,,0.0500,,,,mm,
2112,244,真直度,,,0.3000,,,,mm,
2113,245,外徑,,,,-0.0500,0.1000,53.0000,mm,
2114,245,內徑,,,,-0.0500,0.0500,33.8000,mm,
2115,245,長度,,,,0.0000,2.0000,235.0000,mm,
2116,245,同心度,,,0.1500,,,,mm,
2117,245,真圓度,,,0.0500,,,,mm,
2118,245,真直度,,,0.3000,,,,mm,
2119,246,外徑,,,,-0.1000,0.1000,35.0000,mm,
2120,246,內徑,,,,-0.1000,0.1000,30.8000,mm,
2121,246,長度,,,,0.0000,2.0000,650.0000,mm,
2122,246,真直度,,,0.1500,,,,mm,
2123,247,外徑,,,,-0.0500,0.0500,,mm,
2124,247,厚度,,,,-0.0500,-0.1000,,mm,
2125,247,長度,,,,0.0000,2.0000,,mm,
2126,247,真直度,,,1.0000,,,,mm,
2127,247,硬度,,9.0000,12.0000,,,,HRB,
2128,248,外徑,,,,-0.1500,0.1500,43.5000,mm,
2129,248,內徑,,,,-0.2000,0.2000,34.3000,mm,
2130,248,長度,,,,-2.0000,2.0000,2600.0000,mm,
2131,248,同心度,,,0.3000,,,,mm,
2132,249,外徑,,,,-0.0500,0.0500,29.0000,mm,
2133,249,內徑,,,,-0.3000,0.2000,14.5000,mm,
2134,249,長度,,,,,,3000.0000,mm,
2135,249,硬度,,56.2000,,,,,HRB,
2136,249,抗拉強度,,38.0000,,,,,ksi,
2137,249,降伏強度,,35.0000,,,,,ksi,
2138,249,伸長率,,8.0000,,,,,%,
2139,250,外徑,,,,-0.1000,0.1000,38.0000,mm,
2140,250,長度,,,,,,3000.0000,mm,
2141,250,硬度,,73.0000,78.0000,,,,HRB,
2142,251,外徑,,,,,,69.6000,mm,
2143,251,內徑,,,,-0.1000,0.2000,67.2000,mm,
2144,251,長度,,,,-0.1500,0.3000,143.0000,mm,
2145,251,硬度,,3.0000,5.0000,,,,HW,
2146,252,外徑,,,,,,84.5000,mm,
2147,252,內徑,,,,-0.1000,0.2000,82.0000,mm,
2148,252,長度,,,,-0.1500,0.3000,164.5000,mm,
2149,252,硬度,,3.0000,5.0000,,,,HW,
2150,253,外徑,,,,-0.1500,0.2500,51.0000,mm,
2151,253,厚度,,,,-0.1500,0.1500,2.3000,mm,
2152,253,長度,,,,-1.0000,1.0000,585.0000,mm,
2153,253,同心度,,,0.2500,,,,mm,
2154,254,外徑,,,,-0.1000,0.1000,36.0000,mm,
2155,254,內徑,,,,-0.0500,0.0500,30.4000,mm,
2156,254,長度,,,,-1.0000,1.0000,195.0000,mm,
2157,255,外徑,,,,-0.1500,0.2000,38.0000,mm,
2158,255,厚度,,,,-0.1500,0.2000,2.7500,mm,
2159,255,長度,,,,-1.0000,1.0000,295.0000,mm,
2160,255,同心度,,,0.3500,,,,mm,
2161,256,外徑,,,,-0.1500,0.2000,34.0000,mm,
2162,256,厚度,,,,-0.1500,0.1500,2.5000,mm,
2163,256,長度,,,,-1.0000,1.0000,400.0000,mm,
2164,256,同心度,,,0.2500,,,,mm,
2165,257,外徑,,,,-0.1500,0.2500,68.0000,mm,
2166,257,厚度,,,,-0.1500,0.2500,2.7000,mm,
2167,257,長度,,,,-1.0000,1.0000,465.0000,mm,
2168,257,同心度,,,0.3500,,,,mm,
2169,258,外徑,,,,-0.1000,0.1000,36.0000,mm,
2170,258,內徑,,,,-0.0500,0.0500,30.4000,mm,
2171,258,長度,,,,-1.0000,1.0000,200.0000,mm,
2622,328,外徑,,,,-0.0500,0.0500,35.0000,mm,
2623,328,內徑,,,,-0.0500,0.0500,29.0000,mm,
2624,328,真圓度,,,0.1000,,,,mm,
2625,328,同心度,,,0.2000,,,,mm,
2626,328,真直度,,,0.0700,,,,mm,
2627,328,硬度,,56.0000,64.0000,,,,HRB,
2628,328,抗拉強度,,350.0000,,,,,Mpa,
2629,328,降伏強度,,310.0000,,,,,Mpa,
2630,328,伸長率,,11.0000,,,,,%,
2631,329,外徑,,,,0.0000,0.2000,35.5000,mm,
2632,329,內徑,,,,-0.1500,0.1500,28.0000,mm,
2633,329,真圓度,,,0.1000,,,,mm,
2634,329,同心度,,,0.2000,,,,mm,
2635,329,硬度,,58.0000,,,,,HRB,
2636,329,抗拉強度,,350.0000,,,,,Mpa,
2637,329,降伏強度,,310.0000,,,,,Mpa,
2638,329,伸長率,,11.0000,,,,,%,
2639,330,外徑,,,,0.0000,0.2000,36.0000,mm,
2640,330,內徑,,,,-0.1000,0.1000,25.2000,mm,
2641,330,真圓度,,,0.1000,,,,mm,
2642,330,同心度,,,0.2000,,,,mm,
2643,330,真直度,,,0.0700,,,,mm,
2644,330,硬度,,58.0000,,,,,HRB,
2645,330,抗拉強度,,350.0000,,,,,Mpa,
2646,330,降伏強度,,310.0000,,,,,Mpa,
2647,330,伸長率,,11.0000,,,,,%,
2648,331,外徑,,,,-0.1000,0.1000,41.0000,mm,
2649,331,內徑,,,,-0.1000,0.1500,35.7000,mm,
2650,331,真圓度,,,0.1000,,,,mm,
2651,331,同心度,,,0.2000,,,,mm,
2652,331,硬度,,58.0000,65.0000,,,,HRB,
2653,331,抗拉強度,,350.0000,,,,,Mpa,
2654,331,降伏強度,,310.0000,,,,,Mpa,
2655,331,伸長率,,11.0000,,,,,%,
2658,333,外徑,,,,-0.1000,0.1000,42.5000,mm,
2659,333,內徑,,,,-0.1000,0.1500,35.7000,mm,
2660,333,真圓度,,,0.1000,,,,mm,
2661,333,同心度,,,0.2000,,,,mm,
2662,333,硬度,,58.0000,65.0000,,,,HRB,
2663,333,抗拉強度,,350.0000,,,,,Mpa,
2664,333,降伏強度,,310.0000,,,,,Mpa,
2665,333,伸長率,,11.0000,,,,,%,
2666,334,外徑,,,,0.3000,0.5000,43.0000,mm,
2667,334,內徑,,,,-0.0500,0.0500,34.8000,mm,
2668,334,同心度,,,0.2500,,,,mm,
2669,334,硬度,,58.0000,65.0000,,,,HRB,
2670,335,外徑,,,,0.0000,0.2000,43.0000,mm,
2671,335,內徑,,,,-0.1000,0.1500,35.7000,mm,
2672,335,真圓度,,,0.1000,,,,mm,
2673,335,同心度,,,0.2000,,,,mm,
2674,335,真直度,,,0.0700,,,,mm,
2675,335,硬度,,58.0000,,,,,HRB,
2676,335,抗拉強度,,350.0000,,,,,Mpa,
2677,335,降伏強度,,310.0000,,,,,Mpa,
2678,335,伸長率,,11.0000,,,,,%,
2679,336,外徑,,,,0.0000,0.2000,43.1000,mm,
2680,336,內徑,,,,-0.0500,0.0500,36.7000,mm,
2681,336,真圓度,,,0.1000,,,,mm,
2682,336,同心度,,,0.2000,,,,mm,
2683,336,硬度,,58.0000,,,,,HRB,
2684,336,抗拉強度,,350.0000,,,,,Mpa,
2685,336,降伏強度,,310.0000,,,,,Mpa,
2686,336,伸長率,,11.0000,,,,,%,
2687,337,外徑,,,,-0.1000,0.2000,43.5000,mm,
2688,337,內徑,,,,-0.1500,0.1000,36.7000,mm,
2689,337,真圓度,,,0.1000,,,,mm,
2690,337,同心度,,,0.2000,,,,mm,
2691,337,硬度,,58.0000,,,,,HRB,
2692,337,抗拉強度,,350.0000,,,,,Mpa,
2693,337,降伏強度,,310.0000,,,,,Mpa,
2694,337,伸長率,,11.0000,,,,,%,
2697,339,外徑,,,,-0.1000,0.2000,44.0000,mm,
2698,339,內徑,,,,-0.1500,0.1000,36.7000,mm,
2699,339,真圓度,,,0.1000,,,,mm,
2700,339,同心度,,,0.2000,,,,mm,
2701,339,硬度,,58.0000,,,,,HRB,
2702,339,抗拉強度,,350.0000,,,,,Mpa,
2703,339,降伏強度,,310.0000,,,,,Mpa,
2704,339,伸長率,,11.0000,,,,,%,
2705,340,外徑,,,,-0.1000,0.1000,44.5000,mm,
2706,340,內徑,,,,-0.1000,0.1500,35.7000,mm,
2707,340,真圓度,,,0.1000,,,,mm,
2708,340,同心度,,,0.2000,,,,mm,
2709,340,硬度,,58.0000,,,,,HRB,
2710,340,抗拉強度,,310.0000,,,,,Mpa,
2711,340,降伏強度,,276.0000,,,,,Mpa,
2712,340,伸長率,,11.0000,,,,,%,
2719,342,外徑,,,,-0.1000,0.1000,48.0000,mm,
2720,342,內徑,,,,-0.0500,0.0500,44.0500,mm,
2721,342,真圓度,,,0.1000,,,,mm,
2722,342,真直度,,,0.2000,,,,mm,
2723,342,硬度,,58.0000,,,,,HRB,
2724,342,抗拉強度,,310.0000,,,,,Mpa,
2725,342,降伏強度,,276.0000,,,,,Mpa,
2726,342,伸長率,,11.0000,,,,,%,
2727,343,外徑,,,,-0.1000,0.1000,52.0000,mm,
2728,343,內徑,,,,-0.1000,0.1000,43.0000,mm,
2729,343,真圓度,,,0.1000,,,,mm,
2730,343,同心度,,,0.2000,,,,mm,
2731,343,硬度,,58.0000,,,,,HRB,
2732,343,抗拉強度,,350.0000,,,,,Mpa,
2733,343,降伏強度,,310.0000,,,,,Mpa,
2734,343,伸長率,,11.0000,,,,,%,
2735,344,外徑,,,,-0.1000,0.1000,53.0000,mm,
2736,344,內徑,,,,-0.1500,0.1000,39.6000,mm,
2737,344,真圓度,,,0.1000,,,,mm,
2738,344,同心度,,,0.2000,,,,mm,
2739,344,硬度,,55.0000,60.0000,,,,HRB,
2740,344,伸長率,,11.0000,,,,,%,
2741,345,外徑,,,,-0.1000,0.1000,53.0000,mm,
2742,345,內徑,,,,-0.1000,0.1000,41.0000,mm,
2743,345,真圓度,,,0.1000,,,,mm,
2744,345,同心度,,,0.2000,,,,mm,
2745,345,硬度,,58.0000,,,,,HRB,
2746,345,抗拉強度,,310.0000,,,,,Mpa,
2747,345,降伏強度,,276.0000,,,,,Mpa,
2748,345,伸長率,,11.0000,,,,,%,
2749,346,外徑,,,,-0.1000,0.1000,53.0000,mm,
2750,346,內徑,,,,-0.1000,0.1000,44.2000,mm,
2751,346,真圓度,,,0.1000,,,,mm,
2752,346,同心度,,,0.2000,,,,mm,
2753,346,硬度,,58.0000,,,,,HRB,
2754,346,抗拉強度,,350.0000,,,,,Mpa,
2755,346,降伏強度,,310.0000,,,,,Mpa,
2756,346,伸長率,,11.0000,,,,,%,
2757,347,外徑,,,,-0.2000,0.2000,53.0000,mm,
2758,347,內徑,,,,-0.1000,0.1500,45.2000,mm,
2759,347,真圓度,,,0.1000,,,,mm,
2760,347,同心度,,,0.2000,,,,mm,
2761,347,硬度,,58.0000,,,,,HRB,
2762,347,抗拉強度,,310.0000,,,,,Mpa,
2763,347,降伏強度,,276.0000,,,,,Mpa,
2764,347,伸長率,,11.0000,,,,,%,
2765,348,外徑,,,,-0.1000,0.1000,54.0000,mm,
2766,348,內徑,,,,-0.1000,0.1000,44.1000,mm,
2767,348,真圓度,,,0.1000,,,,mm,
2768,348,同心度,,,0.2000,,,,mm,
2769,348,硬度,,58.0000,65.0000,,,,HRB,
2770,348,抗拉強度,,350.0000,,,,,Mpa,
2771,348,降伏強度,,310.0000,,,,,Mpa,
2772,348,伸長率,,11.0000,,,,,%,
2773,349,外徑,,,,-0.2000,0.2000,54.0000,mm,
2774,349,內徑,,,,-0.1000,0.1500,46.2000,mm,
2775,349,真圓度,,,0.1000,,,,mm,
2776,349,同心度,,,0.2000,,,,mm,
2777,349,硬度,,58.0000,,,,,HRB,
2778,349,抗拉強度,,350.0000,,,,,Mpa,
2779,349,降伏強度,,310.0000,,,,,Mpa,
2780,349,伸長率,,11.0000,,,,,%,
2781,350,外徑,,,,-0.2000,0.2000,54.0000,mm,
2782,350,內徑,,,,-0.1000,0.1000,46.3500,mm,
2783,350,真圓度,,,0.1000,,,,mm,
2784,350,同心度,,,0.2000,,,,mm,
2785,350,硬度,,58.0000,,,,,HRB,
2786,350,抗拉強度,,350.0000,,,,,Mpa,
2787,350,降伏強度,,310.0000,,,,,Mpa,
2788,350,伸長率,,11.0000,,,,,%,
2789,351,外徑,,,,-0.2000,0.2000,54.5000,mm,
2790,351,內徑,,,,-0.1000,0.1500,46.2000,mm,
2791,351,真圓度,,,0.1000,,,,mm,
2792,351,同心度,,,0.2000,,,,mm,
2793,351,硬度,,58.0000,,,,,HRB,
2794,351,抗拉強度,,350.0000,,,,,Mpa,
2795,351,降伏強度,,310.0000,,,,,Mpa,
2796,351,伸長率,,11.0000,,,,,%,
2797,352,外徑,,,,-0.1000,0.1000,55.0000,mm,
2798,352,內徑,,,,-0.1000,0.0500,44.2000,mm,
2799,352,真圓度,,,0.1000,,,,mm,
2800,352,同心度,,,0.2000,,,,mm,
2801,352,硬度,,58.0000,,,,,HRB,
2802,352,抗拉強度,,350.0000,,,,,Mpa,
2803,352,降伏強度,,310.0000,,,,,Mpa,
2804,352,伸長率,,11.0000,,,,,%,
2805,353,外徑,,,,0.0000,0.2000,55.0000,mm,
2806,353,內徑,,,,-0.1000,0.1500,45.7000,mm,
2807,353,真圓度,,,0.1000,,,,mm,
2808,353,同心度,,,0.2000,,,,mm,
2809,353,真直度,,,0.0700,,,,mm,
2810,353,硬度,,58.0000,,,,,HRB,
2811,353,抗拉強度,,350.0000,,,,,Mpa,
2812,353,降伏強度,,310.0000,,,,,Mpa,
2813,353,伸長率,,11.0000,,,,,%,
2814,354,外徑,,,,-0.2000,0.2000,55.0000,mm,
2815,354,內徑,,,,-0.0500,0.1000,45.8000,mm,
2816,354,真圓度,,,0.1000,,,,mm,
2817,354,同心度,,,0.2000,,,,mm,
2818,354,硬度,,58.0000,,,,,HRB,
2819,354,抗拉強度,,350.0000,,,,,Mpa,
2820,354,降伏強度,,310.0000,,,,,Mpa,
2821,354,伸長率,,11.0000,,,,,%,
2822,355,外徑,,,,0.0000,0.2000,55.0000,mm,
2823,355,內徑,,,,-0.1000,0.1500,46.2000,mm,
2824,355,真圓度,,,0.1000,,,,mm,
2825,355,同心度,,,0.2000,,,,mm,
2826,355,硬度,,58.0000,,,,,HRB,
2827,356,外徑,,,,-0.2000,0.2000,57.0000,mm,
2828,356,內徑,,,,-0.1000,0.1500,45.6000,mm,
2829,356,同心度,,,0.1000,,,,mm,
2830,356,真圓度,,,0.2000,,,,mm,
2831,356,硬度,,58.0000,,,,,HRB,
2832,357,外徑,,,,-0.2000,0.2000,58.0000,mm,
2833,357,內徑,,,,-0.1000,0.1500,45.7000,mm,
2834,357,真圓度,,,0.1000,,,,mm,
2835,357,同心度,,,0.2000,,,,mm,
2836,357,硬度,,58.0000,,,,,HRB,
2837,357,抗拉強度,,350.0000,,,,,Mpa,
2838,357,降伏強度,,310.0000,,,,,Mpa,
2839,357,伸長率,,11.0000,,,,,%,
2840,358,外徑,,,,-0.2000,0.2000,60.0000,mm,
2841,358,內徑,,,,-0.2000,0.2000,50.0000,mm,
2842,358,真圓度,,,0.1000,,,,mm,
2843,358,同心度,,,0.2000,,,,mm,
2844,358,抗拉強度,,310.0000,,,,,Mpa,
2845,358,降伏強度,,276.0000,,,,,Mpa,
2846,358,伸長率,,11.0000,,,,,%,
2847,359,外徑,,,,-0.1000,0.1000,60.5000,mm,
2848,359,內徑,,,,-0.1200,0.0800,51.5000,mm,
2849,359,真圓度,,,0.1000,,,,mm,
2850,359,同心度,,,0.2000,,,,mm,
2851,359,硬度,,58.0000,65.0000,,,,HRB,
2852,359,抗拉強度,,270.0000,,,,,Mpa,
2853,359,降伏強度,,240.0000,,,,,Mpa,
2854,359,伸長率,,11.0000,,,,,%,
2855,360,外徑,,,,-0.2000,0.2000,60.0000,mm,
2856,360,內徑,,,,-0.1000,0.1500,50.5000,mm,
2857,360,真圓度,,,0.1000,,,,mm,
2858,360,同心度,,,0.2000,,,,mm,
2859,360,硬度,,58.0000,,,,,HRB,
2860,360,抗拉強度,,350.0000,,,,,Mpa,
2861,360,降伏強度,,310.0000,,,,,Mpa,
2862,360,伸長率,,11.0000,,,,,%,
2863,361,外徑,,,,-0.2000,0.2000,60.0000,mm,
2864,361,內徑,,,,-0.0500,0.1000,50.6000,mm,
2865,361,真圓度,,,0.1000,,,,mm,
2866,361,同心度,,,0.2000,,,,mm,
2867,361,硬度,,58.0000,,,,,HRB,
2868,361,抗拉強度,,350.0000,,,,,Mpa,
2869,361,降伏強度,,310.0000,,,,,Mpa,
2870,361,伸長率,,11.0000,,,,,%,
2871,362,外徑,,,,-0.1000,0.1000,60.5000,mm,
2872,362,內徑,,,,-0.1000,0.1000,56.2000,mm,
2873,362,真圓度,,,0.1000,,,,mm,
2874,362,同心度,,,0.2000,,,,mm,
2875,362,硬度,,58.0000,,,,,HRB,
2876,363,外徑,,,,-0.1000,0.1000,61.0000,mm,
2877,363,內徑,,,,-0.1000,0.1000,52.3000,mm,
2878,363,真圓度,,,0.1000,,,,mm,
2879,363,同心度,,,0.2000,,,,mm,
2880,363,硬度,,58.0000,,,,,HRB,
2881,363,抗拉強度,,350.0000,,,,,Mpa,
2882,363,降伏強度,,310.0000,,,,,Mpa,
2883,363,伸長率,,11.0000,,,,,%,
2884,364,外徑,,,,0.0000,0.2000,64.5000,mm,
2885,364,內徑,,,,-0.1000,0.1000,56.7500,mm,
2886,364,真圓度,,,0.1000,,,,mm,
2887,364,同心度,,,0.2000,,,,mm,
2888,364,硬度,,58.0000,,,,,HRB,
2889,364,抗拉強度,,350.0000,,,,,Mpa,
2890,364,降伏強度,,310.0000,,,,,Mpa,
2891,364,伸長率,,11.0000,,,,,%,
2892,365,外徑,,,,0.0000,0.2000,64.5000,mm,
2893,365,內徑,,,,-0.1000,0.1500,56.8800,mm,
2894,365,真圓度,,,0.1000,,,,mm,
2895,365,同心度,,,0.2000,,,,mm,
2896,365,硬度,,58.0000,,,,,HRB,
2897,365,抗拉強度,,350.0000,,,,,Mpa,
2898,365,降伏強度,,310.0000,,,,,Mpa,
2899,365,伸長率,,11.0000,,,,,%,
2900,366,外徑,,,,0.0000,0.2000,65.0000,mm,
2901,366,內徑,,,,-0.1000,0.1500,55.7000,mm,
2902,366,真圓度,,,0.1000,,,,mm,
2903,366,同心度,,,0.2000,,,,mm,
2904,366,真直度,,,0.0700,,,,mm,
2905,366,硬度,,58.0000,,,,,HRB,
2906,366,抗拉強度,,350.0000,,,,,Mpa,
2907,366,降伏強度,,310.0000,,,,,Mpa,
2908,366,伸長率,,11.0000,,,,,%,
2909,367,外徑,,,,0.0000,0.2000,65.7000,mm,
2910,367,內徑,,,,-0.1000,0.1000,56.7500,mm,
2911,367,真圓度,,,0.1000,,,,mm,
2912,367,同心度,,,0.2000,,,,mm,
2913,367,硬度,,58.0000,,,,,HRB,
2914,367,抗拉強度,,350.0000,,,,,Mpa,
2915,367,降伏強度,,310.0000,,,,,Mpa,
2916,367,伸長率,,11.0000,,,,,%,
2917,368,外徑,,,,-0.2000,0.2000,66.5000,mm,
2918,368,內徑,,,,-0.1000,0.1000,56.7500,mm,
2919,368,真圓度,,,0.1000,,,,mm,
2920,368,同心度,,,0.2000,,,,mm,
2921,368,硬度,,58.0000,,,,,HRB,
2922,368,抗拉強度,,350.0000,,,,,Mpa,
2923,368,降伏強度,,310.0000,,,,,Mpa,
2924,368,伸長率,,11.0000,,,,,%,
2925,369,外徑,,,,-0.2000,0.2000,66.5000,mm,
2926,369,內徑,,,,-0.2000,0.2000,59.0000,mm,
2927,369,真圓度,,,0.1000,,,,mm,
2928,369,同心度,,,0.2000,,,,mm,
2929,369,硬度,,58.0000,,,,,HRB,
2930,369,抗拉強度,,350.0000,,,,,Mpa,
2931,369,降伏強度,,310.0000,,,,,Mpa,
2932,369,伸長率,,11.0000,,,,,%,
2933,370,外徑,,,,-0.2000,0.2000,66.7000,mm,
2934,370,內徑,,,,-0.1000,0.1000,56.7500,mm,
2935,370,真圓度,,,0.1000,,,,mm,
2936,370,同心度,,,0.2000,,,,mm,
2937,370,硬度,,58.0000,,,,,HRB,
2938,370,抗拉強度,,350.0000,,,,,Mpa,
2939,370,降伏強度,,310.0000,,,,,Mpa,
2940,370,伸長率,,11.0000,,,,,%,
2949,376,外徑,,,,-0.1000,0.1000,76.5000,mm,
2950,376,內徑,,,,-0.2000,0.1000,65.5000,mm,
2951,376,真圓度,,,0.1000,,,,mm,
2952,376,同心度,,,0.2000,,,,mm,
2953,376,硬度,,58.0000,,,,,HRB,
2954,376,抗拉強度,,350.0000,,,,,Mpa,
2955,376,降伏強度,,310.0000,,,,,Mpa,
2956,376,伸長率,,11.0000,,,,,%,
2957,377,外徑,,,,-0.1000,0.1000,76.5000,mm,
2958,377,內徑,,,,-0.1000,0.1000,65.7000,mm,
2959,377,真圓度,,,0.1000,,,,mm,
2960,377,同心度,,,0.2000,,,,mm,
2961,377,硬度,,58.0000,,,,,HRB,
2962,377,抗拉強度,,350.0000,,,,,Mpa,
2963,377,降伏強度,,310.0000,,,,,Mpa,
2964,377,伸長率,,11.0000,,,,,%,
2965,378,外徑,,,,-0.1000,0.1000,76.5000,mm,
2966,378,內徑,,,,-0.1500,0.1500,66.6700,mm,
2967,378,真圓度,,,0.1000,,,,mm,
2968,378,同心度,,,0.2000,,,,mm,
2969,378,硬度,,58.0000,,,,,HRB,
2970,378,抗拉強度,,350.0000,,,,,Mpa,
2971,378,降伏強度,,310.0000,,,,,Mpa,
2972,378,伸長率,,11.0000,,,,,%,
2973,379,外徑,,,,-0.1000,0.1000,77.9000,mm,
2974,379,內徑,,,,-0.1000,0.1000,69.0000,mm,
2975,379,真圓度,,,0.1000,,,,mm,
2976,379,同心度,,,0.2000,,,,mm,
2977,379,硬度,,58.0000,,,,,HRB,
2978,379,抗拉強度,,350.0000,,,,,Mpa,
2979,379,降伏強度,,310.0000,,,,,Mpa,
2980,379,伸長率,,11.0000,,,,,%,
2981,380,外徑,,,,0.0000,0.2000,78.5000,mm,
2982,380,內徑,,,,-0.1000,0.1000,69.0000,mm,
2983,380,真圓度,,,0.1000,,,,mm,
2984,380,同心度,,,0.2000,,,,mm,
2985,380,硬度,,58.0000,,,,,HRB,
2986,380,抗拉強度,,350.0000,,,,,Mpa,
2987,380,降伏強度,,310.0000,,,,,Mpa,
2988,380,伸長率,,11.0000,,,,,%,
2989,381,外徑,,,,-0.1000,0.1000,80.0000,mm,
2990,381,內徑,,,,-0.1000,0.1000,69.5500,mm,
2991,381,真圓度,,,0.1000,,,,mm,
2992,381,同心度,,,0.2000,,,,mm,
2993,381,真直度,,,0.3000,,,,mm,
2994,381,硬度,,58.0000,,,,,HRB,
2995,381,抗拉強度,,350.0000,,,,,Mpa,
2996,381,降伏強度,,310.0000,,,,,Mpa,
2997,381,伸長率,,11.0000,,,,,%,
2998,382,外徑,,,,-0.2000,0.2000,80.0000,mm,
2999,382,內徑,,,,-0.1500,0.1000,69.6000,mm,
3000,382,真圓度,,,0.1000,,,,mm,
3001,382,同心度,,,0.2000,,,,mm,
3002,382,硬度,,58.0000,,,,,HRB,
3003,382,抗拉強度,,350.0000,,,,,Mpa,
3004,382,降伏強度,,310.0000,,,,,Mpa,
3005,382,伸長率,,11.0000,,,,,%,
3006,383,外徑,,,,-0.2000,0.2000,80.0000,mm,
3007,383,內徑,,,,-0.2000,0.2000,70.0000,mm,
3008,383,真圓度,,,0.1000,,,,mm,
3009,383,同心度,,,0.2000,,,,mm,
3010,383,硬度,,58.0000,,,,,HRB,
3011,383,抗拉強度,,350.0000,,,,,Mpa,
3012,383,降伏強度,,310.0000,,,,,Mpa,
3013,383,伸長率,,11.0000,,,,,%,
3014,384,外徑,,,,-0.2000,0.2000,82.0000,mm,
3015,384,內徑,,,,-0.2000,0.2000,70.1500,mm,
3016,384,真圓度,,,0.1000,,,,mm,
3017,384,同心度,,,0.2000,,,,mm,
3018,384,真直度,,,0.3000,,,,mm,
3019,384,硬度,,58.0000,,,,,HRB,
3020,384,抗拉強度,,350.0000,,,,,Mpa,
3021,384,降伏強度,,310.0000,,,,,Mpa,
3022,384,伸長率,,11.0000,,,,,%,
3023,385,外徑,,,,-0.1000,0.1000,81.1000,mm,
3024,385,內徑,,,,-0.1000,0.1000,69.5000,mm,
3025,385,真圓度,,,0.1000,,,,mm,
3026,385,同心度,,,0.2000,,,,mm,
3027,385,真直度,,,0.3000,,,,mm,
3028,385,硬度,,58.0000,,,,,HRB,
3029,385,抗拉強度,,350.0000,,,,,Mpa,
3030,385,降伏強度,,310.0000,,,,,Mpa,
3031,385,伸長率,,11.0000,,,,,%,
3032,386,外徑,,,,-0.2000,0.2000,82.5000,mm,
3033,386,內徑,,,,-0.2000,0.2000,70.1500,mm,
3034,386,真圓度,,,0.1000,,,,mm,
3035,386,同心度,,,0.2000,,,,mm,
3036,386,真直度,,,0.3000,,,,mm,
3037,386,硬度,,58.0000,,,,,HRB,
3038,386,抗拉強度,,350.0000,,,,,Mpa,
3039,386,降伏強度,,310.0000,,,,,Mpa,
3040,386,伸長率,,11.0000,,,,,%,
3041,387,外徑,,,,-0.1000,0.1000,90.0000,mm,
3042,387,內徑,,,,-0.1000,0.1000,80.2000,mm,
3043,387,真圓度,,,0.1000,,,,mm,
3044,387,同心度,,,0.2000,,,,mm,
3045,387,真直度,,,0.3000,,,,mm,
3046,387,硬度,,58.0000,,,,,HRB,
3047,387,抗拉強度,,350.0000,,,,,Mpa,
3048,387,降伏強度,,310.0000,,,,,Mpa,
3049,387,伸長率,,11.0000,,,,,%,
3050,388,外徑,,,,-0.1000,0.1000,93.0000,mm,
3051,388,內徑,,,,-0.1000,0.1000,80.2000,mm,
3052,388,真圓度,,,0.1000,,,,mm,
3053,388,同心度,,,0.2000,,,,mm,
3054,388,真直度,,,0.3000,,,,,
3055,388,硬度,,58.0000,,,,,HRB,
3056,388,抗拉強度,,350.0000,,,,,Mpa,
3057,388,降伏強度,,310.0000,,,,,Mpa,
3058,388,伸長率,,11.0000,,,,,%,
3059,389,外徑,,,,-0.2000,0.2000,37.5000,mm,
3060,389,內徑,,,,-0.1000,0.1000,30.6000,mm,
3061,389,真圓度,,,0.1000,,,,mm,
3062,389,同心度,,,0.2000,,,,mm,
3063,389,硬度,,87.0000,,,,,HRB,
3064,389,抗拉強度,,540.0000,,,,,Mpa,
3065,389,降伏強度,,480.0000,,,,,Mpa,
3066,389,伸長率,,8.0000,,,,,%,
3067,389,EC值,,30.0000,,,,,,
3068,390,外徑,,,,-0.0500,0.0500,35.0000,mm,
3069,390,內徑,,,,-0.0500,0.0500,29.0000,mm,
3070,390,同心度,,,0.2000,,,,mm,
3071,390,真直度,,,0.0700,,,,mm,
3072,390,硬度,,89.0000,92.0000,,,,HRB,
3073,390,抗拉強度,,588.0000,,,,,Mpa,
3074,390,降伏強度,,549.0000,,,,,Mpa,
3075,390,伸長率,,11.0000,,,,,%,
3076,390,EC值,,35.5000,39.5000,,,,,
3077,391,外徑,,,,-0.1000,0.1000,40.5000,mm,
3078,391,內徑,,,,-0.1000,0.1000,32.0000,mm,
3079,391,真圓度,,,0.1000,,,,mm,
3080,391,同心度,,,0.1500,,,,mm,
3081,391,Fe含量,,,0.1200,,,,%,
