
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    127.0.0.1:56230        127.0.0.1:56229        ESTABLISHED     7872
  TCP    127.0.0.1:56752        127.0.0.1:53237        ESTABLISHED     24520
  TCP    127.0.0.1:57121        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57122        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57394        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57395        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57396        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57397        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57398        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57399        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:57447        127.0.0.1:53229        ESTABLISHED     4992
  TCP    127.0.0.1:59109        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:59110        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:59111        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:59384        127.0.0.1:53229        ESTABLISHED     4992
  TCP    127.0.0.1:59387        127.0.0.1:59412        TIME_WAIT       0
  TCP    127.0.0.1:59393        127.0.0.1:59394        ESTABLISHED     21632
  TCP    127.0.0.1:59394        127.0.0.1:59393        ESTABLISHED     21632
  TCP    127.0.0.1:59410        0.0.0.0:0              LISTENING       19096
  TCP    127.0.0.1:59412        0.0.0.0:0              LISTENING       10028
  TCP    127.0.0.1:59413        0.0.0.0:0              LISTENING       19084
  TCP    127.0.0.1:59413        127.0.0.1:49733        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:49734        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:49735        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:49736        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:49738        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:49739        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50713        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50714        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50716        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50717        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50718        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50719        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50720        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50722        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:50723        TIME_WAIT       0
